Date,AQI,PM10,CO,NO,NO2,O3,SO2,PM2_5,NH3,City,Latitude,Longitude
2022-01-02,1,6.11875,249.505,0.130833333,11.0425,47.19166667,1.922916667,4.531666667,0.285833333,Amsterdam,52.3727598,4.8936041
2022-01-03,1,6.662916667,241.3,0.119583333,11.05666667,61.77833333,2.125833333,3.44875,0.24,Amsterdam,52.3727598,4.8936041
2021-05-14,1,4.549166667,214.87375,0.487916667,19.88208333,52.37875,1.299583333,3.093333333,3.115833333,Amsterdam,52.3727598,4.8936041
2022-01-04,1,3.58625,262.0229167,0.051666667,13.01,54.01666667,2.275416667,1.596666667,0.55375,Amsterdam,52.3727598,4.8936041
2022-01-07,1,2.4175,271.6183333,0.164583333,17.04208333,48.11625,2.170833333,1.271666667,0.53,Amsterdam,52.3727598,4.8936041
2022-01-08,1,2.95625,269.5329167,0.184166667,16.81208333,46.2525,1.85375,1.983333333,0.43,Amsterdam,52.3727598,4.8936041
2022-01-17,1,10.14958333,267.1683333,0.1125,16.31916667,52.19791667,1.880833333,3.282083333,0.6875,Amsterdam,52.3727598,4.8936041
2022-01-22,1,6.2,261.7842857,0.064761905,15.73238095,52.74142857,2.32,2.215714286,0.62047619,Amsterdam,52.3727598,4.8936041
2022-01-27,1,6.50625,251.0341667,0.08625,8.8625,64.19458333,1.929166667,3.01625,0.337916667,Amsterdam,52.3727598,4.8936041
2022-01-28,1,7.872916667,268.41875,0.379583333,18.45,47.34,2.992916667,3.4775,0.445416667,Amsterdam,52.3727598,4.8936041
2022-01-29,1,6.152916667,243.5245833,0.121666667,6.364166667,63.70333333,1.49625,2.202916667,0.372083333,Amsterdam,52.3727598,4.8936041
2022-01-30,1,5.993333333,257.0170833,0.127916667,9.314166667,68.51541667,1.6875,1.704166667,0.415833333,Amsterdam,52.3727598,4.8936041
2022-02-04,1,4.720416667,253.4,0.047083333,11.24166667,68.57625,2.42875,2.30875,0.964166667,Amsterdam,52.3727598,4.8936041
2022-02-05,1,3.875833333,251.31375,0.149166667,7.907083333,66.60916667,1.865833333,1.957916667,0.904583333,Amsterdam,52.3727598,4.8936041
2022-02-07,1,6.622083333,261.4654167,0.42125,11.92166667,57.0275,2.434166667,2.720416667,1.050416667,Amsterdam,52.3727598,4.8936041
2022-02-08,1,7.590833333,250.6183333,0.141666667,14.32541667,64.28375,3.02625,3.3925,0.788333333,Amsterdam,52.3727598,4.8936041
2022-01-05,1,6.187083333,258.54625,0.039583333,5.517916667,64.40333333,1.158333333,2.127083333,0.400416667,Amsterdam,52.3727598,4.8936041
2021-05-09,1,3.539166667,199.8545833,0.61,15.01666667,49.41291667,1.448333333,2.754166667,3.392916667,Amsterdam,52.3727598,4.8936041
2022-09-01,1,4.39,176.91,0,6.51,55.79,1.39,3.33,7.47,Amsterdam,52.3727598,4.8936041
2021-01-29,1,4.158333333,227.80875,0.14875,12.47041667,42.84833333,1.689166667,2.412916667,0.387083333,Amsterdam,52.3727598,4.8936041
2021-01-19,1,2.450416667,215.2225,0.01625,10.20708333,62.85291667,1.997083333,1.694583333,0.305,Amsterdam,52.3727598,4.8936041
2021-01-20,1,2.752916667,234.2075,0.09,14.45291667,61.78166667,2.552083333,2.096666667,1.583333333,Amsterdam,52.3727598,4.8936041
2021-01-21,1,1.755,236.2225,0.285416667,15.62541667,50.1725,2.126666667,1.077916667,0.617083333,Amsterdam,52.3727598,4.8936041
2021-01-26,1,4.136190476,243.1880952,0.202857143,19.57333333,54.36,2.998571429,2.834761905,0.556666667,Amsterdam,52.3727598,4.8936041
2021-01-27,1,7.643333333,287.0566667,12.07,36.78666667,0.26,3.306666667,5.523333333,6.313333333,Amsterdam,52.3727598,4.8936041
2021-01-30,1,3.875833333,268.8379167,0.44625,13.83041667,31.38916667,2.38375,3.379583333,3.5925,Amsterdam,52.3727598,4.8936041
2021-01-18,1,4.351666667,225.8620833,0.129583333,13.73833333,62.64416667,2.450833333,2.195833333,0.375416667,Amsterdam,52.3727598,4.8936041
2021-01-31,1,6.4975,281.9104167,1.00125,21.88583333,27.89541667,2.888333333,5.485833333,6.71625,Amsterdam,52.3727598,4.8936041
2021-02-13,1,7.899166667,286.9183333,2.464166667,24.76208333,55.19458333,5.373333333,6.066666667,26.48458333,Amsterdam,52.3727598,4.8936041
2021-02-14,1,5.879166667,269.6725,1.087083333,20.79666667,60.35041667,4.35625,4.562916667,16.83625,Amsterdam,52.3727598,4.8936041
2021-02-17,1,8.450416667,245.1941667,0.23,21.5675,48.87666667,3.213333333,5.114166667,2.34625,Amsterdam,52.3727598,4.8936041
2021-02-18,1,4.522083333,241.16,0.285833333,18.77875,50.93333333,2.143333333,2.989166667,3.533333333,Amsterdam,52.3727598,4.8936041
2021-02-20,1,8.025,232.2591667,0.725,13.93416667,55.03083333,1.18875,5.563333333,8.497083333,Amsterdam,52.3727598,4.8936041
2021-03-11,1,3.549583333,218.2841667,0.22625,7.17375,66.07208333,1.984166667,1.832916667,1.257916667,Amsterdam,52.3727598,4.8936041
2021-02-09,1,2.691666667,253.12125,0.830833333,18.43708333,62.79416667,2.482083333,2.05125,9.90125,Amsterdam,52.3727598,4.8936041
2021-03-12,1,2.72,224.1916667,0.162083333,10.36041667,67.92083333,2.41375,1.60875,1.447083333,Amsterdam,52.3727598,4.8936041
2021-01-17,1,4.578333333,231.7016667,0.167083333,13.6175,61.98916667,1.938333333,2.339583333,0.517916667,Amsterdam,52.3727598,4.8936041
2021-01-11,1,3.76,222.24625,0.009583333,13.13166667,66.63875,2.617916667,2.19,0.22,Amsterdam,52.3727598,4.8936041
2020-12-13,1,5.225416667,264.2475,9.870833333,22.28166667,30.56458333,1.908333333,3.9275,0.878333333,Amsterdam,52.3727598,4.8936041
2020-12-14,1,3.5525,249.50625,0.515,25.49083333,23.93541667,2.5625,2.715833333,0.765833333,Amsterdam,52.3727598,4.8936041
2020-12-17,1,5.47625,265.2208333,0.52875,25.3125,22.64666667,3.2525,3.820833333,0.57125,Amsterdam,52.3727598,4.8936041
2020-12-18,1,5.955416667,257.8491667,1.067916667,22.86708333,24.6425,2.394583333,4.251666667,1.005,Amsterdam,52.3727598,4.8936041
2020-12-19,1,5.310416667,254.79,0.17,18.39666667,28.73708333,2.205416667,4.372916667,0.951666667,Amsterdam,52.3727598,4.8936041
2020-12-20,1,6.559166667,250.89625,0.85,20.9075,26.74375,2.862916667,4.272916667,0.840416667,Amsterdam,52.3727598,4.8936041
2021-01-13,1,3.806666667,235.04125,0.097916667,10.7925,58.33833333,1.844583333,1.309166667,0.83875,Amsterdam,52.3727598,4.8936041
2020-12-21,1,4.491666667,236.5704167,0.76,19.61,30.17333333,2.010416667,3.545,0.513333333,Amsterdam,52.3727598,4.8936041
2020-12-24,1,2.418333333,216.265,0.06,8.654583333,59.54625,0.885833333,1.08125,0.61625,Amsterdam,52.3727598,4.8936041
2021-01-04,1,1.455,257.8508333,0.105416667,9.332916667,32.08208333,1.263333333,1.16875,0.71125,Amsterdam,52.3727598,4.8936041
2021-01-05,1,1.785416667,265.2208333,0.197083333,13.84041667,27.94833333,1.549583333,1.529166667,0.655833333,Amsterdam,52.3727598,4.8936041
2021-01-06,1,3.0175,287.1970833,2.218333333,26.7975,17.02208333,1.879166667,2.325,1.2,Amsterdam,52.3727598,4.8936041
2021-01-07,1,1.546666667,264.1091667,0.151666667,14.37375,36.195,2.094166667,1.024583333,0.570833333,Amsterdam,52.3727598,4.8936041
2021-01-10,1,6.093333333,247.0008333,0.10125,19.87791667,47.96791667,2.204583333,4.605,0.5,Amsterdam,52.3727598,4.8936041
2020-12-23,1,4.86625,273.2870833,13.94291667,23.24916667,18.79208333,2.796666667,3.955833333,0.64,Amsterdam,52.3727598,4.8936041
2021-03-16,1,2.394583333,241.4395833,0.15,11.70708333,67.20541667,1.735833333,1.30375,2.323333333,Amsterdam,52.3727598,4.8936041
2020-12-04,1,2.460833333,239.6295833,0.270833333,20.31666667,40.45666667,1.31625,1.68375,1.16,Amsterdam,52.3727598,4.8936041
2021-09-28,1,6.31,339.9058333,1.89875,25.14833333,35.14541667,2.68375,3.082083333,4.48125,Amsterdam,52.3727598,4.8936041
2020-12-26,1,2.99125,230.0341667,0.019166667,13.11291667,62.49666667,2.222083333,1.73125,0.51875,Amsterdam,52.3727598,4.8936041
2021-11-26,1,1.87375,279.1283333,0.097083333,21.61666667,49.01083333,2.1925,1.175416667,0.612916667,Amsterdam,52.3727598,4.8936041
2021-11-05,1,4.535833333,282.7441667,1.635833333,18.13625,45.08833333,1.959583333,2.008333333,0.807916667,Amsterdam,52.3727598,4.8936041
2021-12-01,1,3.390833333,249.505,0.008333333,5.9325,66.87625,1.230416667,1.226666667,0.25375,Amsterdam,52.3727598,4.8936041
2021-05-15,1,6.501666667,230.87,0.863333333,24.65541667,41.25833333,2.637083333,5.393333333,2.061666667,Amsterdam,52.3727598,4.8936041
2022-02-02,1,9.066666667,261.32625,0.442083333,19.27458333,47.23125,2.91625,4.696666667,1.243333333,Amsterdam,52.3727598,4.8936041
2021-10-19,1,6.624583333,266.8904167,0.497916667,17.95125,38.0725,2.733333333,5.285,1.35,Amsterdam,52.3727598,4.8936041
2022-03-12,1,4.244583333,276.0679167,0.417083333,16.92208333,62.68916667,1.5225,3.105,12.31666667,Amsterdam,52.3727598,4.8936041
2022-01-09,1,3.22375,264.3870833,0.142916667,15.74208333,51.66958333,1.67875,1.360833333,0.565,Amsterdam,52.3727598,4.8936041
2022-02-24,1,5.010416667,263.1354167,0.215,11.75958333,63.62791667,2.1425,2.555833333,2.301666667,Amsterdam,52.3727598,4.8936041
2022-06-08,1,6.860833333,201.5929167,1.414166667,17.05125,45.25541667,2.697083333,5.144583333,1.17625,Amsterdam,52.3727598,4.8936041
2021-07-29,1,6.750833333,197.28375,0.507916667,5.84625,53.37625,2.383333333,3.1675,0.57125,Amsterdam,52.3727598,4.8936041
2021-07-28,1,6.965833333,206.4604167,1.0625,9.082916667,51.365,2.73125,4.97125,0.729166667,Amsterdam,52.3727598,4.8936041
2021-10-13,1,4.574166667,295.2620833,0.207083333,15.45583333,51.37291667,1.942916667,2.150416667,0.990833333,Amsterdam,52.3727598,4.8936041
2022-01-16,1,8.975,266.3333333,0.18375,10.58916667,62.04875,1.90875,5.184583333,0.410833333,Amsterdam,52.3727598,4.8936041
2022-02-23,1,8.505416667,273.1470833,1.669166667,16.0825,60.75208333,3.199166667,4.802083333,2.22875,Amsterdam,52.3727598,4.8936041
